日付,コード,社名,業種,セクター,ウエート
2024/8/30,1332,ニッスイ,水産,消費,0.08%
2024/8/30,1605,ＩＮＰＥＸ,鉱業,素材,0.07%
2024/8/30,1721,コムシスホールディングス,建設,資本財・その他,0.27%
2024/8/30,1801,大成建設,建設,資本財・その他,0.11%
2024/8/30,1802,大林組,建設,資本財・その他,0.16%
2024/8/30,1803,清水建設,建設,資本財・その他,0.08%
2024/8/30,1808,長谷工コーポレーション,建設,資本財・その他,0.03%
2024/8/30,1812,鹿島建設,建設,資本財・その他,0.11%
2024/8/30,1925,大和ハウス工業,建設,資本財・その他,0.38%
2024/8/30,1928,積水ハウス,建設,資本財・その他,0.32%
2024/8/30,1963,日揮ホールディングス,建設,資本財・その他,0.11%
2024/8/30,2002,日清製粉グループ本社,食品,消費,0.16%
2024/8/30,2269,明治ホールディングス,食品,消費,0.12%
2024/8/30,2282,日本ハム,食品,消費,0.23%
2024/8/30,2413,エムスリー,サービス,消費,0.29%
2024/8/30,2432,ディー・エヌ・エー,サービス,消費,0.04%
2024/8/30,2501,サッポロホールディングス,食品,消費,0.12%
2024/8/30,2502,アサヒグループホールディングス,食品,消費,0.46%
2024/8/30,2503,キリンホールディングス,食品,消費,0.19%
2024/8/30,2768,双日,商社,素材,0.03%
2024/8/30,2801,キッコーマン,食品,消費,0.69%
2024/8/30,2802,味の素,食品,消費,0.47%
2024/8/30,2871,ニチレイ,食品,消費,0.19%
2024/8/30,2914,日本たばこ産業,食品,消費,0.36%
2024/8/30,3086,Ｊ．フロントリテイリング,小売業,消費,0.06%
2024/8/30,3092,ＺＯＺＯ,小売業,消費,0.39%
2024/8/30,3099,三越伊勢丹ホールディングス,小売業,消費,0.19%
2024/8/30,3289,東急不動産ホールディングス,不動産,資本財・その他,0.09%
2024/8/30,3382,セブン＆アイ・ホールディングス,小売業,消費,0.53%
2024/8/30,3401,帝人,繊維,素材,0.02%
2024/8/30,3402,東レ,繊維,素材,0.06%
2024/8/30,3405,クラレ,化学,素材,0.16%
2024/8/30,3407,旭化成,化学,素材,0.09%
2024/8/30,3436,ＳＵＭＣＯ,非鉄・金属,素材,0.01%
2024/8/30,3659,ネクソン,サービス,消費,0.48%
2024/8/30,3861,王子ホールディングス,パルプ・紙,素材,0.05%
2024/8/30,3863,日本製紙,パルプ・紙,素材,0.01%
